time,rank,size,what
0.0125651360,3,8,matrix-initialization
0.0044069290,3,8,mpi-comm
1.1009459496,3,8,win-creation
0.0146703720,3,8,computation
0.0126609802,2,8,matrix-initialization
0.0041241646,2,8,mpi-comm
1.0950820446,2,8,win-creation
0.0150229931,2,8,computation
0.0124280453,5,8,matrix-initialization
0.0048756599,5,8,mpi-comm
1.0966439247,5,8,win-creation
0.0142345428,5,8,computation
0.0125410557,6,8,matrix-initialization
0.0047152042,6,8,mpi-comm
1.0823619366,6,8,win-creation
0.0143716335,6,8,computation
0.0126469135,4,8,matrix-initialization
0.0042629242,4,8,mpi-comm
1.0595450401,4,8,win-creation
0.0148510933,4,8,computation
0.0128421783,1,8,matrix-initialization
0.0032169819,1,8,mpi-comm
1.0510339737,1,8,win-creation
0.0158989429,1,8,computation
0.0125751495,7,8,matrix-initialization
0.0052008629,7,8,mpi-comm
1.0726318359,7,8,win-creation
0.0139040947,7,8,computation
0.0118300915,0,8,matrix-initialization
0.0050549507,0,8,mpi-comm
1.0831890106,0,8,win-creation
0.0140419006,0,8,computation
0.0123310089,2,8,matrix-initialization
0.0016810894,2,8,mpi-comm
0.5098779202,2,8,win-creation
0.0145199299,2,8,computation
0.0123980045,6,8,matrix-initialization
0.0019581318,6,8,mpi-comm
0.5024068356,6,8,win-creation
0.0142140388,6,8,computation
0.0119960308,4,8,matrix-initialization
0.0019159317,4,8,mpi-comm
0.5201759338,4,8,win-creation
0.0143077374,4,8,computation
0.0125432014,3,8,matrix-initialization
0.0014739037,3,8,mpi-comm
0.5214049816,3,8,win-creation
0.0147128105,3,8,computation
0.0129029751,5,8,matrix-initialization
0.0011546612,5,8,mpi-comm
0.5195941925,5,8,win-creation
0.0150141716,5,8,computation
0.0126869678,1,8,matrix-initialization
0.0013630390,1,8,mpi-comm
0.4962098598,1,8,win-creation
0.0147950649,1,8,computation
0.0123679638,0,8,matrix-initialization
0.0018131733,0,8,mpi-comm
0.5111119747,0,8,win-creation
0.0143568516,0,8,computation
0.0120699406,7,8,matrix-initialization
0.0027091503,7,8,mpi-comm
0.5090968609,7,8,win-creation
0.0134768486,7,8,computation
0.0131540298,3,8,matrix-initialization
0.0013253689,3,8,mpi-comm
0.7877700329,3,8,win-creation
0.0151908398,3,8,computation
0.0130720139,5,8,matrix-initialization
0.0018010139,5,8,mpi-comm
0.7840459347,5,8,win-creation
0.0147256851,5,8,computation
0.0125668049,2,8,matrix-initialization
0.0019941330,2,8,mpi-comm
0.7766489983,2,8,win-creation
0.0145742893,2,8,computation
0.0126750469,1,8,matrix-initialization
0.0020020008,1,8,mpi-comm
0.8056290150,1,8,win-creation
0.0145471096,1,8,computation
0.0121090412,4,8,matrix-initialization
0.0016808510,4,8,mpi-comm
0.7850620747,4,8,win-creation
0.0148701668,4,8,computation
0.0127639771,6,8,matrix-initialization
0.0018889904,6,8,mpi-comm
0.7845740318,6,8,win-creation
0.0146534443,6,8,computation
0.0119400024,0,8,matrix-initialization
0.0024831295,0,8,mpi-comm
0.7834970951,0,8,win-creation
0.0140500069,0,8,computation
