time,rank,size,what
0.0128550529,4,8,matrix-initialization
0.0012748241,4,8,mpi-comm
0.0151288509,4,8,computation
0.0119879246,2,8,matrix-initialization
0.0024428368,2,8,mpi-comm
0.0139544010,2,8,computation
0.0125288963,7,8,matrix-initialization
0.0020763874,7,8,mpi-comm
0.0143246651,7,8,computation
0.0125708580,3,8,matrix-initialization
0.0015702248,3,8,mpi-comm
0.0148410797,3,8,computation
0.0129671097,1,8,matrix-initialization
0.0009918213,1,8,mpi-comm
0.0154082775,1,8,computation
0.0125951767,6,8,matrix-initialization
0.0016763210,6,8,mpi-comm
0.0147149563,6,8,computation
0.0123291016,5,8,matrix-initialization
0.0021281242,5,8,mpi-comm
0.0142521858,5,8,computation
0.0120790005,0,8,matrix-initialization
0.0022959709,0,8,mpi-comm
0.0141031742,0,8,computation
0.0123400688,1,8,matrix-initialization
0.0016036034,1,8,mpi-comm
0.0141046047,1,8,computation
0.0125350952,3,8,matrix-initialization
0.0016388893,3,8,mpi-comm
0.0140349865,3,8,computation
0.0125141144,4,8,matrix-initialization
0.0017163754,4,8,mpi-comm
0.0139434338,4,8,computation
0.0122010708,5,8,matrix-initialization
0.0011160374,5,8,mpi-comm
0.0145640373,5,8,computation
0.0125160217,2,8,matrix-initialization
0.0012762547,2,8,mpi-comm
0.0144038200,2,8,computation
0.0119638443,7,8,matrix-initialization
0.0023686886,7,8,mpi-comm
0.0133206844,7,8,computation
0.0123319626,6,8,matrix-initialization
0.0010952950,6,8,mpi-comm
0.0146064758,6,8,computation
0.0126779079,0,8,matrix-initialization
0.0007679462,0,8,mpi-comm
0.0149161816,0,8,computation
0.0117399693,7,8,matrix-initialization
0.0027871132,7,8,mpi-comm
0.0133781433,7,8,computation
0.0120861530,1,8,matrix-initialization
0.0023548603,1,8,mpi-comm
0.0138289928,1,8,computation
0.0123691559,3,8,matrix-initialization
0.0017781258,3,8,mpi-comm
0.0144085884,3,8,computation
0.0125038624,4,8,matrix-initialization
0.0012967587,4,8,mpi-comm
0.0148627758,4,8,computation
0.0123279095,6,8,matrix-initialization
0.0019629002,6,8,mpi-comm
0.0142421722,6,8,computation
0.0122549534,2,8,matrix-initialization
0.0022623539,2,8,mpi-comm
