size,what,nodes,windows,operation,time
12000,matrix-initialization,16,1,put,0.00747713744875
12000,matrix-initialization,16,2,get,0.007523289325
12000,matrix-initialization,16,2,put,0.007547648250625
12000,mpi-comm,1,0,none,3.473757e-05
12000,mpi-comm,1,1,get,0.00153238775
12000,mpi-comm,1,1,put,0.00134649276
12000,mpi-comm,1,2,get,4.1866320000000004e-05
12000,mpi-comm,1,2,put,4.243853e-05
12000,mpi-comm,2,0,none,0.009991216655
12000,mpi-comm,2,1,get,0.0010242223850000002
12000,mpi-comm,2,1,put,0.00089027881
12000,mpi-comm,2,2,get,0.00091320277
12000,mpi-comm,2,2,put,0.001260006435
12000,mpi-comm,4,0,none,0.02473271489
12000,mpi-comm,4,1,get,0.0023704588450000003
12000,mpi-comm,4,1,put,0.0022070527025
12000,mpi-comm,4,2,get,0.0022582888675
12000,mpi-comm,4,2,put,0.004205769305000001
12000,mpi-comm,8,0,none,0.05432676673375
12000,mpi-comm,8,1,get,0.002943876385
12000,mpi-comm,8,1,put,0.00306699573875
12000,mpi-comm,8,2,get,0.00223591625875
12000,mpi-comm,8,2,put,0.0018793582925
12000,mpi-comm,16,0,none,0.099267566204375
12000,mpi-comm,16,1,get,0.0044240146825
12000,mpi-comm,16,1,put,0.00622752755625
12000,mpi-comm,16,2,get,0.0016132220575
12000,mpi-comm,16,2,put,0.0017288148374999999
