time,rank,size,what
0.0428969860,0,2,matrix-initialization
0.0006420612,0,2,mpi-comm
0.1800029278,0,2,win-creation
0.0652740002,0,2,computation
0.0410828590,1,2,matrix-initialization
0.0044989586,1,2,mpi-comm
0.1537530422,1,2,win-creation
0.0614511967,1,2,computation
0.0397551060,0,2,matrix-initialization
0.0021703243,0,2,mpi-comm
0.1843857765,0,2,win-creation
0.0618679523,0,2,computation
0.0451469421,1,2,matrix-initialization
0.0003938675,1,2,mpi-comm
0.1659569740,1,2,win-creation
0.0636532307,1,2,computation
0.0415370464,0,2,matrix-initialization
0.0013697147,0,2,mpi-comm
0.1076650620,0,2,win-creation
0.0615901947,0,2,computation
0.0443060398,1,2,matrix-initialization
0.0004441738,1,2,mpi-comm
0.1048018932,1,2,win-creation
0.0625050068,1,2,computation
0.0407278538,0,2,matrix-initialization
0.0030579567,0,2,mpi-comm
0.1079349518,0,2,win-creation
0.0601563454,0,2,computation
0.0439260006,1,2,matrix-initialization
0.0004160404,1,2,mpi-comm
0.1147260666,1,2,win-creation
0.0627877712,1,2,computation
0.0411598682,0,2,matrix-initialization
0.0101494789,0,2,mpi-comm
0.1721200943,0,2,win-creation
0.0616595745,0,2,computation
0.0430171490,1,2,matrix-initialization
0.0004568100,1,2,mpi-comm
0.1777029037,1,2,win-creation
0.0713994503,1,2,computation
0.0423200130,0,2,matrix-initialization
0.0006198883,0,2,mpi-comm
0.0943889618,0,2,win-creation
0.0606122017,0,2,computation
0.0414700508,1,2,matrix-initialization
0.0009250641,1,2,mpi-comm
0.1232218742,1,2,win-creation
0.0603220463,1,2,computation
0.0443038940,0,2,matrix-initialization
0.0005211830,0,2,mpi-comm
0.0742309093,0,2,win-creation
0.0623068810,0,2,computation
0.0401890278,1,2,matrix-initialization
0.0029983521,1,2,mpi-comm
0.1143410206,1,2,win-creation
0.0598957539,1,2,computation
0.0398018360,0,2,matrix-initialization
0.0004632473,0,2,mpi-comm
0.0795700550,0,2,win-creation
0.0594336987,0,2,computation
0.0401730537,1,2,matrix-initialization
0.0004615784,1,2,mpi-comm
0.0766727924,1,2,win-creation
0.0594434738,1,2,computation
0.0404369831,0,2,matrix-initialization
0.0005474091,0,2,mpi-comm
0.1061749458,0,2,win-creation
0.0598945618,0,2,computation
0.0406801701,1,2,matrix-initialization
0.0005898476,1,2,mpi-comm
0.1044039726,1,2,win-creation
0.0598671436,1,2,computation
0.0421211720,1,2,matrix-initialization
0.0012707710,1,2,mpi-comm
0.1083970070,1,2,win-creation
0.0609068871,1,2,computation
0.0426619053,0,2,matrix-initialization
0.0003962517,0,2,mpi-comm
0.0859189034,0,2,win-creation
0.0617959499,0,2,computation
