time,rank,size,what
0.0400841236,0,2,matrix-initialization
0.0009191036,0,2,mpi-comm
0.1633157730,0,2,win-creation
0.0597786903,0,2,computation
0.0404479504,1,2,matrix-initialization
0.0003719330,1,2,mpi-comm
0.1458551884,1,2,win-creation
0.0603501797,1,2,computation
0.0402200222,0,2,matrix-initialization
0.0031809807,0,2,mpi-comm
0.1210610867,0,2,win-creation
0.0598652363,0,2,computation
0.0435738564,1,2,matrix-initialization
0.0004408360,1,2,mpi-comm
0.1281421185,1,2,win-creation
0.0626151562,1,2,computation
0.0422940254,1,2,matrix-initialization
0.0004396439,1,2,mpi-comm
0.1353189945,1,2,win-creation
0.0612494946,1,2,computation
0.0398340225,0,2,matrix-initialization
0.0028676987,0,2,mpi-comm
0.1187720299,0,2,win-creation
0.0587763786,0,2,computation
0.0432250500,0,2,matrix-initialization
0.0006058216,0,2,mpi-comm
0.1238429546,0,2,win-creation
0.0619871616,0,2,computation
0.0418682098,1,2,matrix-initialization
0.0014512539,1,2,mpi-comm
0.1141719818,1,2,win-creation
0.0612125397,1,2,computation
0.0426740646,0,2,matrix-initialization
0.0006687641,0,2,mpi-comm
0.1349658966,0,2,win-creation
0.0620183945,0,2,computation
0.0404729843,1,2,matrix-initialization
0.0017282963,1,2,mpi-comm
0.1396739483,1,2,win-creation
0.0610477924,1,2,computation
0.0409901142,0,2,matrix-initialization
0.0025107861,0,2,mpi-comm
0.1561319828,0,2,win-creation
0.0613999367,0,2,computation
0.0427868366,1,2,matrix-initialization
0.0019102097,1,2,mpi-comm
0.1424930096,1,2,win-creation
0.0620048046,1,2,computation
0.0429618359,0,2,matrix-initialization
0.0004084110,0,2,mpi-comm
0.1386680603,0,2,win-creation
0.0623939037,0,2,computation
0.0475029945,1,2,matrix-initialization
0.0008294582,1,2,mpi-comm
0.1426260471,1,2,win-creation
0.0619485378,1,2,computation
0.0401618481,0,2,matrix-initialization
0.0007119179,0,2,mpi-comm
0.1202690601,0,2,win-creation
0.0594501495,0,2,computation
0.0406038761,1,2,matrix-initialization
0.0003833771,1,2,mpi-comm
0.1293120384,1,2,win-creation
0.0598177910,1,2,computation
0.0418870449,0,2,matrix-initialization
0.0003771782,0,2,mpi-comm
0.2480318546,0,2,win-creation
0.0674300194,0,2,computation
0.0434739590,1,2,matrix-initialization
0.0047450066,1,2,mpi-comm
0.2234849930,1,2,win-creation
0.0630798340,1,2,computation
0.0401909351,0,2,matrix-initialization
0.0042374134,0,2,mpi-comm
0.1893870831,0,2,win-creation
0.0596306324,0,2,computation
0.0437781811,1,2,matrix-initialization
0.0004284382,1,2,mpi-comm
0.1883108616,1,2,win-creation
0.0634875298,1,2,computation
