time,rank,size,what
0.0031170845,0,4,matrix-initialization
0.0002944469,0,4,mpi-comm
0.0007047653,0,4,computation
0.0038130283,3,4,matrix-initialization
0.0003330708,3,4,mpi-comm
0.0006668568,3,4,computation
0.0032091141,2,4,matrix-initialization
0.0003874302,2,4,mpi-comm
0.0006134510,2,4,computation
0.0031628609,1,4,matrix-initialization
0.0003087521,1,4,mpi-comm
0.0007028580,1,4,computation
0.0032250881,3,4,matrix-initialization
0.0003521442,3,4,mpi-comm
0.0005688667,3,4,computation
0.0037138462,2,4,matrix-initialization
0.0002942085,2,4,mpi-comm
0.0006289482,2,4,computation
0.0031781197,0,4,matrix-initialization
0.0003218651,0,4,mpi-comm
0.0005972385,0,4,computation
0.0031280518,1,4,matrix-initialization
0.0003123283,1,4,mpi-comm
0.0006067753,1,4,computation
0.0031490326,1,4,matrix-initialization
0.0003910065,1,4,mpi-comm
0.0007500648,1,4,computation
0.0030939579,2,4,matrix-initialization
0.0003972054,2,4,mpi-comm
0.0007128716,2,4,computation
0.0032970905,3,4,matrix-initialization
0.0003657341,3,4,mpi-comm
0.0007414818,3,4,computation
0.0030779839,0,4,matrix-initialization
0.0003120899,0,4,mpi-comm
0.0007970333,0,4,computation
0.0030798912,1,4,matrix-initialization
0.0002791882,1,4,mpi-comm
0.0005826950,1,4,computation
0.0031440258,3,4,matrix-initialization
0.0003254414,3,4,mpi-comm
0.0005326271,3,4,computation
0.0036828518,0,4,matrix-initialization
0.0003678799,0,4,mpi-comm
0.0004899502,0,4,computation
0.0030779839,2,4,matrix-initialization
0.0003151894,2,4,mpi-comm
0.0005426407,2,4,computation
0.0031290054,3,4,matrix-initialization
0.0003855228,3,4,mpi-comm
0.0006296635,3,4,computation
0.0036289692,1,4,matrix-initialization
0.0003309250,1,4,mpi-comm
0.0006921291,1,4,computation
0.0031480789,2,4,matrix-initialization
0.0003771782,2,4,mpi-comm
0.0006489754,2,4,computation
0.0032248497,0,4,matrix-initialization
0.0004136562,0,4,mpi-comm
0.0006072521,0,4,computation
0.0032029152,1,4,matrix-initialization
0.0004627705,1,4,mpi-comm
0.0005292892,1,4,computation
0.0030870438,2,4,matrix-initialization
0.0003352165,2,4,mpi-comm
0.0006647110,2,4,computation
0.0031008720,3,4,matrix-initialization
0.0003206730,3,4,mpi-comm
0.0006783009,3,4,computation
0.0036528111,0,4,matrix-initialization
0.0003061295,0,4,mpi-comm
0.0007090569,0,4,computation
0.0031361580,1,4,matrix-initialization
0.0004289150,1,4,mpi-comm
0.0005321503,1,4,computation
0.0031089783,3,4,matrix-initialization
0.0003316402,3,4,mpi-comm
0.0006313324,3,4,computation
0.0032138824,0,4,matrix-initialization
0.0003726482,0,4,mpi-comm
0.0005931854,0,4,computation
0.0030989647,2,4,matrix-initialization
0.0002903938,2,4,mpi-comm
0.0006887913,2,4,computation
0.0031311512,3,4,matrix-initialization
0.0004658699,3,4,mpi-comm
0.0007302761,3,4,computation
0.0031142235,2,4,matrix-initialization
0.0005402565,2,4,mpi-comm
0.0006496906,2,4,computation
0.0030930042,0,4,matrix-initialization
0.0003390312,0,4,mpi-comm
0.0008699894,0,4,computation
0.0031800270,1,4,matrix-initialization
0.0004198551,1,4,mpi-comm
0.0007753372,1,4,computation
0.0035820007,2,4,matrix-initialization
0.0003626347,2,4,mpi-comm
0.0006663799,2,4,computation
0.0031330585,3,4,matrix-initialization
0.0003943443,3,4,mpi-comm
0.0006237030,3,4,computation
0.0030531883,1,4,matrix-initialization
0.0003118515,1,4,mpi-comm
0.0007090569,1,4,computation
0.0030419827,0,4,matrix-initialization
0.0004270077,0,4,mpi-comm
0.0005848408,0,4,computation
0.0030040741,3,4,matrix-initialization
0.0003724098,3,4,mpi-comm
0.0006637573,3,4,computation
0.0034420490,0,4,matrix-initialization
0.0003881454,0,4,mpi-comm
0.0006470680,0,4,computation
0.0035820007,1,4,matrix-initialization
0.0003640652,1,4,mpi-comm
0.0006680489,1,4,computation
0.0031368732,2,4,matrix-initialization
0.0003161430,2,4,mpi-comm
0.0007278919,2,4,computation
