time,rank,size,what
0.0212161541,3,4,matrix-initialization
0.0030179024,3,4,mpi-comm
0.3627569675,3,4,win-creation
0.0352041721,3,4,computation
0.0231459141,1,4,matrix-initialization
0.0009584427,1,4,mpi-comm
0.3624711037,1,4,win-creation
0.0373516083,1,4,computation
0.0210900307,0,4,matrix-initialization
0.0036656857,0,4,mpi-comm
0.3585541248,0,4,win-creation
0.0346324444,0,4,computation
0.0213990211,2,4,matrix-initialization
0.0028839111,2,4,mpi-comm
0.3576581478,2,4,win-creation
0.0354292393,2,4,computation
0.0225710869,0,4,matrix-initialization
0.0047740936,0,4,mpi-comm
0.4121370316,0,4,win-creation
0.0365307331,0,4,computation
0.0214619637,2,4,matrix-initialization
0.0065166950,2,4,mpi-comm
0.4127318859,2,4,win-creation
0.0347614288,2,4,computation
0.0232331753,3,4,matrix-initialization
0.0046677589,3,4,mpi-comm
0.3998408318,3,4,win-creation
0.0366673470,3,4,computation
0.0215849876,1,4,matrix-initialization
0.0066549778,1,4,mpi-comm
0.4007089138,1,4,win-creation
0.0346472263,1,4,computation
0.0222678185,3,4,matrix-initialization
0.0043890476,3,4,mpi-comm
0.3137819767,3,4,win-creation
0.0343151093,3,4,computation
0.0221111774,1,4,matrix-initialization
0.0066218376,1,4,mpi-comm
0.2881069183,1,4,win-creation
0.0322375298,1,4,computation
0.0223789215,0,4,matrix-initialization
0.0074913502,0,4,mpi-comm
0.2943239212,0,4,win-creation
0.0313580036,0,4,computation
0.0224301815,2,4,matrix-initialization
0.0080537796,2,4,mpi-comm
0.3166828156,2,4,win-creation
0.0307912827,2,4,computation
0.0210080147,0,4,matrix-initialization
0.0049457550,0,4,mpi-comm
0.4264879227,0,4,win-creation
0.0346553326,0,4,computation
0.0214469433,3,4,matrix-initialization
0.0047235489,3,4,mpi-comm
0.4092540741,3,4,win-creation
0.0349872112,3,4,computation
0.0232820511,2,4,matrix-initialization
0.0023095608,2,4,mpi-comm
0.4105148315,2,4,win-creation
0.0372827053,2,4,computation
0.0225369930,1,4,matrix-initialization
0.0034549236,1,4,mpi-comm
0.4228911400,1,4,win-creation
0.0361940861,1,4,computation
0.0236229897,3,4,matrix-initialization
0.0028281212,3,4,mpi-comm
0.3606240749,3,4,win-creation
0.0365273952,3,4,computation
0.0232450962,1,4,matrix-initialization
0.0039398670,1,4,mpi-comm
0.3670830727,1,4,win-creation
0.0350940228,1,4,computation
0.0232861042,0,4,matrix-initialization
0.0057139397,0,4,mpi-comm
0.3687341213,0,4,win-creation
0.0336360931,0,4,computation
0.0212659836,2,4,matrix-initialization
0.0046577454,2,4,mpi-comm
0.3916339874,2,4,win-creation
0.0347008705,2,4,computation
0.0227110386,0,4,matrix-initialization
0.0031769276,0,4,mpi-comm
0.2785880566,0,4,win-creation
0.0306422710,0,4,computation
0.0220210552,3,4,matrix-initialization
0.0013129711,3,4,mpi-comm
0.2874259949,3,4,win-creation
0.0325148106,3,4,computation
0.0224928856,2,4,matrix-initialization
0.0055427551,2,4,mpi-comm
0.2642979622,2,4,win-creation
0.0282611847,2,4,computation
0.0214099884,1,4,matrix-initialization
0.0007882118,1,4,mpi-comm
0.2749159336,1,4,win-creation
0.0330395699,1,4,computation
0.0224821568,3,4,matrix-initialization
0.0021467209,3,4,mpi-comm
0.3839218616,3,4,win-creation
0.0359704494,3,4,computation
0.0222311020,1,4,matrix-initialization
0.0025501251,1,4,mpi-comm
0.4303770065,1,4,win-creation
0.0355505943,1,4,computation
0.0230400562,0,4,matrix-initialization
0.0011739731,0,4,mpi-comm
0.4101431370,0,4,win-creation
0.0369489193,0,4,computation
0.0226581097,2,4,matrix-initialization
0.0064458847,2,4,mpi-comm
0.4019410610,2,4,win-creation
0.0316457748,2,4,computation
0.0212879181,0,4,matrix-initialization
0.0045762062,0,4,mpi-comm
0.3557341099,0,4,win-creation
0.0326240063,0,4,computation
0.0224192142,2,4,matrix-initialization
0.0046164989,2,4,mpi-comm
0.3764967918,2,4,win-creation
0.0325572491,2,4,computation
0.0225501060,3,4,matrix-initialization
0.0020058155,3,4,mpi-comm
0.3642048836,3,4,win-creation
0.0351583958,3,4,computation
0.0227811337,1,4,matrix-initialization
0.0006768703,1,4,mpi-comm
0.3806939125,1,4,win-creation
0.0364813805,1,4,computation
0.0214250088,3,4,matrix-initialization
0.0040130615,3,4,mpi-comm
0.2841029167,3,4,win-creation
0.0301401615,3,4,computation
0.0224308968,1,4,matrix-initialization
0.0008583069,1,4,mpi-comm
0.2738740444,1,4,win-creation
0.0332927704,1,4,computation
0.0213820934,0,4,matrix-initialization
0.0024986267,0,4,mpi-comm
0.2719998360,0,4,win-creation
0.0316631794,0,4,computation
0.0221657753,2,4,matrix-initialization
0.0065298080,2,4,mpi-comm
0.2610700130,2,4,win-creation
0.0276193619,2,4,computation
0.0215890408,0,4,matrix-initialization
0.0050990582,0,4,mpi-comm
0.2572770119,0,4,win-creation
0.0294051170,0,4,computation
0.0219779015,2,4,matrix-initialization
0.0061759949,2,4,mpi-comm
0.2657430172,2,4,win-creation
0.0283510685,2,4,computation
0.0233550072,3,4,matrix-initialization
0.0044589043,3,4,mpi-comm
0.2597379684,3,4,win-creation
0.0300331116,3,4,computation
0.0226578712,1,4,matrix-initialization
0.0007009506,1,4,mpi-comm
0.2542002201,1,4,win-creation
0.0338408947,1,4,computation
