time,rank,size,what
0.0414330959,1,2,matrix-initialization
0.0005366802,1,2,mpi-comm
0.0606141090,1,2,computation
0.0398859978,0,2,matrix-initialization
0.0004079342,0,2,mpi-comm
0.0607488155,0,2,computation
0.0415809155,1,2,matrix-initialization
0.0003809929,1,2,mpi-comm
0.0628471375,1,2,computation
0.0425708294,0,2,matrix-initialization
0.0018546581,0,2,mpi-comm
0.0613644123,0,2,computation
0.0415329933,1,2,matrix-initialization
0.0039341450,1,2,mpi-comm
0.0620868206,1,2,computation
0.0414698124,0,2,matrix-initialization
0.0003306866,0,2,mpi-comm
0.0657122135,0,2,computation
0.0402910709,1,2,matrix-initialization
0.0026240349,1,2,mpi-comm
0.0605959892,1,2,computation
0.0443191528,0,2,matrix-initialization
0.0004892349,0,2,mpi-comm
0.0627415180,0,2,computation
0.0423438549,1,2,matrix-initialization
0.0043108463,1,2,mpi-comm
0.0611042976,1,2,computation
0.0399651527,0,2,matrix-initialization
0.0021402836,0,2,mpi-comm
0.0632948875,0,2,computation
0.0407049656,1,2,matrix-initialization
0.0003962517,1,2,mpi-comm
0.0599999428,1,2,computation
0.0415520668,0,2,matrix-initialization
0.0003988743,0,2,mpi-comm
0.0600199699,0,2,computation
0.0428118706,1,2,matrix-initialization
0.0003473759,1,2,mpi-comm
0.0625436306,1,2,computation
0.0432360172,0,2,matrix-initialization
0.0010688305,0,2,mpi-comm
0.0618140697,0,2,computation
0.0406930447,1,2,matrix-initialization
0.0003998280,1,2,mpi-comm
0.0629224777,1,2,computation
0.0415408611,0,2,matrix-initialization
0.0007281303,0,2,mpi-comm
0.0626008511,0,2,computation
0.0429649353,0,2,matrix-initialization
0.0004150867,0,2,mpi-comm
0.0649158955,0,2,computation
0.0415718555,1,2,matrix-initialization
0.0029218197,1,2,mpi-comm
0.0624141693,1,2,computation
0.0416550636,1,2,matrix-initialization
0.0010080338,1,2,mpi-comm
0.0608348846,1,2,computation
0.0428669453,0,2,matrix-initialization
0.0005064011,0,2,mpi-comm
0.0612986088,0,2,computation
