time,rank,size,what
0.0007398129,1,8,matrix-initialization
0.6996159554,1,8,mpi-comm
0.0024828911,1,8,computation
0.0007519722,4,8,matrix-initialization
0.6899507046,4,8,mpi-comm
0.0023221970,4,8,computation
0.0007340908,0,8,matrix-initialization
0.6774067879,0,8,mpi-comm
0.0023531914,0,8,computation
0.0007181168,5,8,matrix-initialization
0.7001984119,5,8,mpi-comm
0.0024676323,5,8,computation
0.0007419586,6,8,matrix-initialization
0.6998732090,6,8,mpi-comm
0.0023820400,6,8,computation
0.0007379055,2,8,matrix-initialization
0.6918232441,2,8,mpi-comm
0.0023787022,2,8,computation
0.0007369518,7,8,matrix-initialization
0.6783785820,7,8,mpi-comm
0.0024392605,7,8,computation
0.0007390976,3,8,matrix-initialization
0.7030725479,3,8,mpi-comm
0.0023703575,3,8,computation
