time,rank,size,what
0.0435519218,0,2,matrix-initialization
0.0035941601,0,2,mpi-comm
0.0614750385,0,2,computation
0.0401830673,1,2,matrix-initialization
0.0434927940,1,2,mpi-comm
0.0603759289,1,2,computation
0.0421319008,1,2,matrix-initialization
0.0139632225,1,2,mpi-comm
0.0607368946,1,2,computation
0.0418510437,0,2,matrix-initialization
0.0038821697,0,2,mpi-comm
0.0602848530,0,2,computation
0.0435099602,1,2,matrix-initialization
0.0035572052,1,2,mpi-comm
0.0615017414,1,2,computation
0.0400550365,0,2,matrix-initialization
0.0057880878,0,2,mpi-comm
0.0592176914,0,2,computation
0.0407409668,1,2,matrix-initialization
0.0053548813,1,2,mpi-comm
0.0592892170,1,2,computation
0.0423719883,0,2,matrix-initialization
0.0179789066,0,2,mpi-comm
0.0610589981,0,2,computation
0.0421869755,0,2,matrix-initialization
0.0128397942,0,2,mpi-comm
0.0604324341,0,2,computation
0.0409908295,1,2,matrix-initialization
0.0040740967,1,2,mpi-comm
0.0602669716,1,2,computation
0.0430319309,1,2,matrix-initialization
0.0069992542,1,2,mpi-comm
0.0612537861,1,2,computation
0.0403118134,0,2,matrix-initialization
0.0153059959,0,2,mpi-comm
0.0598373413,0,2,computation
0.0415070057,0,2,matrix-initialization
0.0085561275,0,2,mpi-comm
0.0605087280,0,2,computation
0.0407991409,1,2,matrix-initialization
0.0047180653,1,2,mpi-comm
0.0598907471,1,2,computation
0.0402960777,1,2,matrix-initialization
0.0050628185,1,2,mpi-comm
0.0590662956,1,2,computation
0.0416288376,0,2,matrix-initialization
0.0227262974,0,2,mpi-comm
0.0607466698,0,2,computation
0.0431988239,1,2,matrix-initialization
0.0035109520,1,2,mpi-comm
0.0611679554,1,2,computation
0.0395839214,0,2,matrix-initialization
0.0083940029,0,2,mpi-comm
0.0584087372,0,2,computation
0.0421810150,0,2,matrix-initialization
0.0054509640,0,2,mpi-comm
0.0604012012,0,2,computation
0.0409390926,1,2,matrix-initialization
0.0045745373,1,2,mpi-comm
0.0593845844,1,2,computation
