time,rank,size,what
0.0224390030,1,4,matrix-initialization
0.0010380745,1,4,mpi-comm
0.0362210274,1,4,computation
0.0226340294,2,4,matrix-initialization
0.0007295609,2,4,mpi-comm
0.0365097523,2,4,computation
0.0224058628,3,4,matrix-initialization
0.0008749962,3,4,mpi-comm
0.0363671780,3,4,computation
0.0215890408,0,4,matrix-initialization
0.0019512177,0,4,mpi-comm
0.0353028774,0,4,computation
0.0227460861,2,4,matrix-initialization
0.0007548332,2,4,mpi-comm
0.0354881287,2,4,computation
0.0226278305,3,4,matrix-initialization
0.0009727478,3,4,mpi-comm
0.0352420807,3,4,computation
0.0214629173,0,4,matrix-initialization
0.0048253536,0,4,mpi-comm
0.0314347744,0,4,computation
0.0217940807,1,4,matrix-initialization
0.0011503696,1,4,mpi-comm
0.0351088047,1,4,computation
0.0220108032,1,4,matrix-initialization
0.0012977123,1,4,mpi-comm
0.0347964764,1,4,computation
0.0225169659,3,4,matrix-initialization
0.0019142628,3,4,mpi-comm
0.0341575146,3,4,computation
0.0222179890,2,4,matrix-initialization
0.0021483898,2,4,mpi-comm
0.0339314938,2,4,computation
0.0226268768,0,4,matrix-initialization
0.0007231236,0,4,mpi-comm
0.0353877544,0,4,computation
0.0212018490,3,4,matrix-initialization
0.0027008057,3,4,mpi-comm
0.0343940258,3,4,computation
0.0216128826,2,4,matrix-initialization
0.0010492802,2,4,mpi-comm
0.0360298157,2,4,computation
0.0218009949,0,4,matrix-initialization
0.0055420399,0,4,mpi-comm
0.0315818787,0,4,computation
0.0225510597,1,4,matrix-initialization
0.0006132126,1,4,mpi-comm
0.0365059376,1,4,computation
0.0215229988,1,4,matrix-initialization
0.0027267933,1,4,mpi-comm
0.0287971497,1,4,computation
0.0220749378,3,4,matrix-initialization
0.0042240620,3,4,mpi-comm
0.0273070335,3,4,computation
0.0224039555,2,4,matrix-initialization
0.0037078857,2,4,mpi-comm
0.0278139114,2,4,computation
0.0229589939,0,4,matrix-initialization
0.0005223751,0,4,mpi-comm
0.0310020447,0,4,computation
0.0221590996,2,4,matrix-initialization
0.0245890617,2,4,mpi-comm
0.0318508148,2,4,computation
0.0223479271,0,4,matrix-initialization
0.0203368664,0,4,mpi-comm
0.0361001492,0,4,computation
0.0225598812,3,4,matrix-initialization
0.0207977295,3,4,mpi-comm
0.0356471539,3,4,computation
0.0217192173,1,4,matrix-initialization
0.0007092953,1,4,mpi-comm
0.0568647385,1,4,computation
0.0222108364,3,4,matrix-initialization
0.0039751530,3,4,mpi-comm
0.0332086086,3,4,computation
0.0224230289,1,4,matrix-initialization
0.0009753704,1,4,mpi-comm
0.0361797810,1,4,computation
0.0225641727,2,4,matrix-initialization
0.0007712841,2,4,mpi-comm
0.0363967419,2,4,computation
0.0222628117,0,4,matrix-initialization
0.0045330524,0,4,mpi-comm
0.0326201916,0,4,computation
0.0219709873,3,4,matrix-initialization
0.0024251938,3,4,mpi-comm
0.0314221382,3,4,computation
0.0213420391,2,4,matrix-initialization
0.0053775311,2,4,mpi-comm
0.0284435749,2,4,computation
0.0219671726,0,4,matrix-initialization
0.0061001778,0,4,mpi-comm
0.0277237892,0,4,computation
0.0214171410,1,4,matrix-initialization
0.0005838871,1,4,mpi-comm
0.0332551003,1,4,computation
0.0231678486,1,4,matrix-initialization
0.0005908012,1,4,mpi-comm
0.0375208855,1,4,computation
0.0228838921,3,4,matrix-initialization
0.0057723522,3,4,mpi-comm
0.0323145390,3,4,computation
0.0230751038,2,4,matrix-initialization
0.0022749901,2,4,mpi-comm
0.0358090401,2,4,computation
0.0222978592,0,4,matrix-initialization
0.0074338913,0,4,mpi-comm
0.0306622982,0,4,computation
0.0213010311,2,4,matrix-initialization
0.0076513290,2,4,mpi-comm
0.0273437500,2,4,computation
0.0227799416,0,4,matrix-initialization
0.0066833496,0,4,mpi-comm
0.0283396244,0,4,computation
0.0221199989,3,4,matrix-initialization
0.0066075325,3,4,mpi-comm
0.0283722878,3,4,computation
0.0213599205,1,4,matrix-initialization
0.0005748272,1,4,mpi-comm
0.0344610214,1,4,computation
