time,rank,size,what
0.0224769115,2,4,matrix-initialization
0.0357112885,2,4,mpi-comm
0.0271468163,2,4,computation
0.0227160454,3,4,matrix-initialization
0.0076546669,3,4,mpi-comm
0.0270133018,3,4,computation
0.0230600834,0,4,matrix-initialization
0.0131127834,0,4,mpi-comm
0.0275094509,0,4,computation
0.0232601166,1,4,matrix-initialization
0.0185506344,1,4,mpi-comm
0.0280821323,1,4,computation
0.0223479271,0,4,matrix-initialization
0.0229158401,0,4,mpi-comm
0.0270531178,0,4,computation
0.0213558674,3,4,matrix-initialization
0.0263152122,3,4,mpi-comm
0.0261619091,3,4,computation
0.0230848789,1,4,matrix-initialization
0.0083963871,1,4,mpi-comm
0.0279595852,1,4,computation
0.0219581127,2,4,matrix-initialization
0.0257427692,2,4,mpi-comm
0.0267341137,2,4,computation
0.0228328705,3,4,matrix-initialization
0.0046505928,3,4,mpi-comm
0.0270736217,3,4,computation
0.0224230289,1,4,matrix-initialization
0.0364763737,1,4,mpi-comm
0.0273566246,1,4,computation
0.0228970051,0,4,matrix-initialization
0.0320463181,0,4,mpi-comm
0.0275778770,0,4,computation
0.0223500729,2,4,matrix-initialization
0.0237040520,2,4,mpi-comm
0.0276131630,2,4,computation
0.0228509903,3,4,matrix-initialization
0.0395271778,3,4,mpi-comm
0.0275321007,3,4,computation
0.0221998692,2,4,matrix-initialization
0.0292201042,2,4,mpi-comm
0.0271327496,2,4,computation
0.0216059685,0,4,matrix-initialization
0.0499126911,0,4,mpi-comm
0.0268640518,0,4,computation
0.0230598450,1,4,matrix-initialization
0.0067806244,1,4,mpi-comm
0.0278005600,1,4,computation
0.0224380493,1,4,matrix-initialization
0.0269048214,1,4,mpi-comm
0.0268809795,1,4,computation
0.0222430229,0,4,matrix-initialization
0.0283019543,0,4,mpi-comm
0.0270469189,0,4,computation
0.0225679874,2,4,matrix-initialization
0.0049340725,2,4,mpi-comm
0.0272955894,2,4,computation
0.0228738785,3,4,matrix-initialization
0.0248126984,3,4,mpi-comm
0.0274095535,3,4,computation
0.0212309361,1,4,matrix-initialization
0.0101764202,1,4,mpi-comm
0.0265367031,1,4,computation
0.0217359066,0,4,matrix-initialization
0.0214481354,0,4,mpi-comm
0.0264561176,0,4,computation
0.0221519470,2,4,matrix-initialization
0.0373308659,2,4,mpi-comm
0.0272331238,2,4,computation
0.0229911804,3,4,matrix-initialization
0.0265781879,3,4,mpi-comm
0.0274755955,3,4,computation
0.0216009617,1,4,matrix-initialization
0.0073995590,1,4,mpi-comm
0.0266137123,1,4,computation
0.0225529671,3,4,matrix-initialization
0.0154047012,3,4,mpi-comm
0.0269713402,3,4,computation
0.0225589275,2,4,matrix-initialization
0.0285229683,2,4,mpi-comm
0.0274143219,2,4,computation
0.0219709873,0,4,matrix-initialization
0.0056900978,0,4,mpi-comm
0.0268507004,0,4,computation
0.0229721069,0,4,matrix-initialization
0.0041019917,0,4,mpi-comm
0.0277125835,0,4,computation
0.0224480629,3,4,matrix-initialization
0.0157625675,3,4,mpi-comm
0.0268204212,3,4,computation
0.0217289925,2,4,matrix-initialization
0.0203781128,2,4,mpi-comm
0.0265858173,2,4,computation
0.0219399929,1,4,matrix-initialization
0.0055871010,1,4,mpi-comm
0.0268275738,1,4,computation
0.0221269131,1,4,matrix-initialization
0.0305550098,1,4,mpi-comm
0.0269598961,1,4,computation
0.0230300426,3,4,matrix-initialization
0.0046823025,3,4,mpi-comm
0.0272555351,3,4,computation
0.0228829384,2,4,matrix-initialization
0.0285103321,2,4,mpi-comm
0.0277528763,2,4,computation
0.0229210854,0,4,matrix-initialization
0.0183985233,0,4,mpi-comm
0.0276653767,0,4,computation
0.0234367847,0,4,matrix-initialization
0.0050299168,0,4,mpi-comm
0.0272390842,0,4,computation
0.0223479271,1,4,matrix-initialization
0.0879297256,1,4,mpi-comm
0.0288403034,1,4,computation
0.0225188732,2,4,matrix-initialization
0.0716540813,2,4,mpi-comm
0.0274140835,2,4,computation
0.0236849785,3,4,matrix-initialization
0.0784969330,3,4,mpi-comm
0.0308210850,3,4,computation
