time,rank,size,what
0.0032467842,1,4,matrix-initialization
0.2773087025,1,4,mpi-comm
0.0007302761,1,4,computation
0.0037348270,2,4,matrix-initialization
0.2538640499,2,4,mpi-comm
0.0006861687,2,4,computation
0.0039410591,0,4,matrix-initialization
0.2590816021,0,4,mpi-comm
0.0006804466,0,4,computation
0.0031177998,3,4,matrix-initialization
0.2892911434,3,4,mpi-comm
0.0007379055,3,4,computation
0.0032000542,0,4,matrix-initialization
0.2618057728,0,4,mpi-comm
0.0006322861,0,4,computation
0.0031778812,1,4,matrix-initialization
0.2578029633,1,4,mpi-comm
0.0008392334,1,4,computation
0.0060570240,2,4,matrix-initialization
0.2575209141,2,4,mpi-comm
0.0006999969,2,4,computation
0.0032072067,3,4,matrix-initialization
0.2647967339,3,4,mpi-comm
0.0006611347,3,4,computation
0.0034008026,1,4,matrix-initialization
0.3112270832,1,4,mpi-comm
0.0009241104,1,4,computation
0.0035488605,2,4,matrix-initialization
0.3186891079,2,4,mpi-comm
0.0008220673,2,4,computation
0.0041358471,0,4,matrix-initialization
0.3269240856,0,4,mpi-comm
0.0009281635,0,4,computation
0.0031781197,3,4,matrix-initialization
0.3165731430,3,4,mpi-comm
0.0007758141,3,4,computation
0.0031669140,1,4,matrix-initialization
0.2643170357,1,4,mpi-comm
0.0006730556,1,4,computation
0.0031681061,2,4,matrix-initialization
0.2787690163,2,4,mpi-comm
0.0007069111,2,4,computation
0.0033018589,0,4,matrix-initialization
0.2714850903,0,4,mpi-comm
0.0007429123,0,4,computation
0.0031781197,3,4,matrix-initialization
0.2751688957,3,4,mpi-comm
0.0006721020,3,4,computation
0.0035099983,2,4,matrix-initialization
0.2586684227,2,4,mpi-comm
0.0008034706,2,4,computation
0.0037460327,0,4,matrix-initialization
0.2592649460,0,4,mpi-comm
0.0008182526,0,4,computation
0.0032739639,1,4,matrix-initialization
0.2603547573,1,4,mpi-comm
0.0008752346,1,4,computation
0.0035099983,3,4,matrix-initialization
0.2590494156,3,4,mpi-comm
0.0007846355,3,4,computation
0.0030999184,1,4,matrix-initialization
0.2696003914,1,4,mpi-comm
0.0007274151,1,4,computation
0.0031080246,2,4,matrix-initialization
0.2887380123,2,4,mpi-comm
0.0006279945,2,4,computation
0.0037620068,0,4,matrix-initialization
0.2977890968,0,4,mpi-comm
0.0007555485,0,4,computation
0.0031540394,3,4,matrix-initialization
0.2714257240,3,4,mpi-comm
0.0007212162,3,4,computation
0.0031950474,3,4,matrix-initialization
0.3440592289,3,4,mpi-comm
0.0010418892,3,4,computation
0.0033850670,2,4,matrix-initialization
0.3525459766,2,4,mpi-comm
0.0009510517,2,4,computation
0.0031621456,0,4,matrix-initialization
0.3556761742,0,4,mpi-comm
0.0009357929,0,4,computation
0.0031549931,1,4,matrix-initialization
0.3632068634,1,4,mpi-comm
0.0010392666,1,4,computation
0.0032281876,2,4,matrix-initialization
0.2484531403,2,4,mpi-comm
0.0008018017,2,4,computation
0.0030639172,3,4,matrix-initialization
0.2539639473,3,4,mpi-comm
0.0008268356,3,4,computation
0.0031278133,0,4,matrix-initialization
0.2395498753,0,4,mpi-comm
0.0007271767,0,4,computation
0.0030281544,1,4,matrix-initialization
0.2491059303,1,4,mpi-comm
0.0008060932,1,4,computation
0.0031619072,0,4,matrix-initialization
0.3234364986,0,4,mpi-comm
0.0007486343,0,4,computation
0.0034339428,2,4,matrix-initialization
0.3170568943,2,4,mpi-comm
0.0008914471,2,4,computation
0.0031471252,1,4,matrix-initialization
0.3199191093,1,4,mpi-comm
0.0009596348,1,4,computation
0.0031301975,3,4,matrix-initialization
0.3259949684,3,4,mpi-comm
0.0007560253,3,4,computation
0.0030441284,0,4,matrix-initialization
0.3259401321,0,4,mpi-comm
0.0010130405,0,4,computation
0.0030410290,1,4,matrix-initialization
0.3246262074,1,4,mpi-comm
0.0009467602,1,4,computation
0.0032391548,3,4,matrix-initialization
0.3163399696,3,4,mpi-comm
0.0009469986,3,4,computation
0.0031189919,2,4,matrix-initialization
0.3341341019,2,4,mpi-comm
0.0008389950,2,4,computation
