time,rank,size,what
0.0413110256,1,2,matrix-initialization
0.0017676353,1,2,mpi-comm
0.0603132248,1,2,computation
0.0424530506,0,2,matrix-initialization
0.0004081726,0,2,mpi-comm
0.0616967678,0,2,computation
0.0419211388,1,2,matrix-initialization
0.0016317368,1,2,mpi-comm
0.0612351894,1,2,computation
0.0429060459,0,2,matrix-initialization
0.0003161430,0,2,mpi-comm
0.0625686646,0,2,computation
0.0419230461,1,2,matrix-initialization
0.0013678074,1,2,mpi-comm
0.0613253117,1,2,computation
0.0404469967,0,2,matrix-initialization
0.0003688335,0,2,mpi-comm
0.0623395443,0,2,computation
0.0426149368,1,2,matrix-initialization
0.0003817081,1,2,mpi-comm
0.0640063286,1,2,computation
0.0423409939,0,2,matrix-initialization
0.0011751652,0,2,mpi-comm
0.0632226467,0,2,computation
0.0418870449,1,2,matrix-initialization
0.0004172325,1,2,mpi-comm
0.0606598854,1,2,computation
0.0418729782,0,2,matrix-initialization
0.0005893707,0,2,mpi-comm
0.0604569912,0,2,computation
0.0422039032,0,2,matrix-initialization
0.0003631115,0,2,mpi-comm
0.0602450371,0,2,computation
0.0414068699,1,2,matrix-initialization
0.0010468960,1,2,mpi-comm
0.0595691204,1,2,computation
0.0420849323,1,2,matrix-initialization
0.0016121864,1,2,mpi-comm
0.0607848167,1,2,computation
0.0435590744,0,2,matrix-initialization
0.0003907681,0,2,mpi-comm
0.0620172024,0,2,computation
0.0424258709,0,2,matrix-initialization
0.0004324913,0,2,mpi-comm
0.0613217354,0,2,computation
0.0402078629,1,2,matrix-initialization
0.0016927719,1,2,mpi-comm
0.0600912571,1,2,computation
0.0430500507,1,2,matrix-initialization
0.0003411770,1,2,mpi-comm
0.0629637241,1,2,computation
0.0418870449,0,2,matrix-initialization
0.0025269985,0,2,mpi-comm
0.0607256889,0,2,computation
0.0428578854,1,2,matrix-initialization
0.0005109310,1,2,mpi-comm
0.0615131855,1,2,computation
0.0427491665,0,2,matrix-initialization
0.0004644394,0,2,mpi-comm
0.0615584850,0,2,computation
