time,rank,size,what
0.0046949387,6,8,matrix-initialization
0.0047459602,6,8,mpi-comm
0.8737969398,6,8,win-creation
0.0006468296,6,8,computation
0.0049378872,2,8,matrix-initialization
0.0047833920,2,8,mpi-comm
0.8734109402,2,8,win-creation
0.0006396770,2,8,computation
0.0050859451,3,8,matrix-initialization
0.0045511723,3,8,mpi-comm
0.8731651306,3,8,win-creation
0.0007359982,3,8,computation
0.0043990612,4,8,matrix-initialization
0.0046601295,4,8,mpi-comm
0.8529610634,4,8,win-creation
0.0007057190,4,8,computation
0.0047080517,5,8,matrix-initialization
0.0046441555,5,8,mpi-comm
0.8541109562,5,8,win-creation
0.0007269382,5,8,computation
0.0048279762,1,8,matrix-initialization
0.0047359467,1,8,mpi-comm
0.8791320324,1,8,win-creation
0.0006647110,1,8,computation
0.0046670437,0,8,matrix-initialization
0.0047564507,0,8,mpi-comm
0.8529369831,0,8,win-creation
0.0006604195,0,8,computation
0.0050470829,7,8,matrix-initialization
0.0046343803,7,8,mpi-comm
0.8583900928,7,8,win-creation
0.0006506443,7,8,computation
0.0028529167,1,8,matrix-initialization
0.0146574974,1,8,mpi-comm
0.7646069527,1,8,win-creation
0.0007607937,1,8,computation
0.0028071404,2,8,matrix-initialization
0.0147469044,2,8,mpi-comm
0.7619838715,2,8,win-creation
0.0007390976,2,8,computation
0.0027778149,5,8,matrix-initialization
0.0146691799,5,8,mpi-comm
0.7744121552,5,8,win-creation
0.0007829666,5,8,computation
0.0027229786,3,8,matrix-initialization
0.0145931244,3,8,mpi-comm
0.7503831387,3,8,win-creation
0.0008177757,3,8,computation
0.0027530193,4,8,matrix-initialization
0.0147211552,4,8,mpi-comm
0.7739419937,4,8,win-creation
0.0007879734,4,8,computation
0.0029330254,6,8,matrix-initialization
0.0146989822,6,8,mpi-comm
0.7505080700,6,8,win-creation
0.0007920265,6,8,computation
0.0027930737,0,8,matrix-initialization
0.0146834850,0,8,mpi-comm
0.7512748241,0,8,win-creation
0.0007846355,0,8,computation
0.0029737949,7,8,matrix-initialization
0.0145897865,7,8,mpi-comm
0.7593560219,7,8,win-creation
0.0008592606,7,8,computation
0.0028059483,4,8,matrix-initialization
0.0043375492,4,8,mpi-comm
0.7467241287,4,8,win-creation
0.0007531643,4,8,computation
0.0029158592,5,8,matrix-initialization
0.0043208599,5,8,mpi-comm
0.7370200157,5,8,win-creation
0.0007092953,5,8,computation
0.0029129982,2,8,matrix-initialization
0.0043082237,2,8,mpi-comm
0.7271070480,2,8,win-creation
0.0007827282,2,8,computation
0.0029540062,1,8,matrix-initialization
0.0042695999,1,8,mpi-comm
0.7622509003,1,8,win-creation
0.0008854866,1,8,computation
0.0028159618,3,8,matrix-initialization
0.0042638779,3,8,mpi-comm
0.7430510521,3,8,win-creation
0.0007650852,3,8,computation
0.0028841496,6,8,matrix-initialization
0.0042326450,6,8,mpi-comm
0.7688069344,6,8,win-creation
0.0008594990,6,8,computation
0.0029518604,0,8,matrix-initialization
0.0042428970,0,8,mpi-comm
0.7433459759,0,8,win-creation
0.0008461475,0,8,computation
0.0028460026,7,8,matrix-initialization
0.0042154789,7,8,mpi-comm
0.7486979961,7,8,win-creation
0.0008232594,7,8,computation
0.0029230118,4,8,matrix-initialization
0.0023889542,4,8,mpi-comm
0.7843201160,4,8,win-creation
0.0006916523,4,8,computation
0.0042119026,6,8,matrix-initialization
0.0023975372,6,8,mpi-comm
0.7947549820,6,8,win-creation
0.0006904602,6,8,computation
0.0030059814,3,8,matrix-initialization
0.0024173260,3,8,mpi-comm
0.7850201130,3,8,win-creation
0.0006666183,3,8,computation
0.0029699802,2,8,matrix-initialization
0.0024213791,2,8,mpi-comm
0.8068950176,2,8,win-creation
0.0006604195,2,8,computation
0.0030469894,1,8,matrix-initialization
0.0024309158,1,8,mpi-comm
0.7808620930,1,8,win-creation
0.0006530285,1,8,computation
0.0028131008,5,8,matrix-initialization
0.0023851395,5,8,mpi-comm
0.7953820229,5,8,win-creation
0.0006997585,5,8,computation
0.0028240681,0,8,matrix-initialization
0.0023221970,0,8,mpi-comm
0.7972218990,0,8,win-creation
0.0007600784,0,8,computation
0.0029361248,7,8,matrix-initialization
0.0023908615,7,8,mpi-comm
0.8038139343,7,8,win-creation
0.0006961823,7,8,computation
0.0028958321,1,8,matrix-initialization
0.0043821335,1,8,mpi-comm
0.7762711048,1,8,win-creation
0.0007410049,1,8,computation
0.0028069019,0,8,matrix-initialization
0.0043492317,0,8,mpi-comm
0.7839379311,0,8,win-creation
0.0007419586,0,8,computation
0.0028071404,6,8,matrix-initialization
0.0042774677,6,8,mpi-comm
0.7633769512,6,8,win-creation
0.0008134842,6,8,computation
0.0028200150,2,8,matrix-initialization
0.0043010712,2,8,mpi-comm
0.7837650776,2,8,win-creation
0.0007929802,2,8,computation
0.0027070045,4,8,matrix-initialization
0.0043792725,4,8,mpi-comm
0.7582750320,4,8,win-creation
0.0007135868,4,8,computation
0.0028469563,5,8,matrix-initialization
0.0043833256,5,8,mpi-comm
0.7515099049,5,8,win-creation
0.0007147789,5,8,computation
0.0027790070,3,8,matrix-initialization
0.0044004917,3,8,mpi-comm
0.7499871254,3,8,win-creation
0.0006933212,3,8,computation
0.0030229092,7,8,matrix-initialization
0.0042946339,7,8,mpi-comm
0.7579820156,7,8,win-creation
0.0007963181,7,8,computation
0.0028970242,0,8,matrix-initialization
0.0032098293,0,8,mpi-comm
0.9084620476,0,8,win-creation
0.0007472038,0,8,computation
0.0028040409,3,8,matrix-initialization
0.0031049252,3,8,mpi-comm
0.9215388298,3,8,win-creation
0.0008552074,3,8,computation
0.0027968884,6,8,matrix-initialization
0.0030848980,6,8,mpi-comm
0.9299731255,6,8,win-creation
0.0008707047,6,8,computation
0.0027790070,5,8,matrix-initialization
0.0031635761,5,8,mpi-comm
0.9121189117,5,8,win-creation
0.0007975101,5,8,computation
0.0028538704,2,8,matrix-initialization
0.0032241344,2,8,mpi-comm
0.9148130417,2,8,win-creation
0.0007369518,2,8,computation
0.0032620430,4,8,matrix-initialization
0.0032043457,4,8,mpi-comm
0.9253017902,4,8,win-creation
0.0007545948,4,8,computation
0.0029079914,1,8,matrix-initialization
0.0031654835,1,8,mpi-comm
0.8878140450,1,8,win-creation
0.0007891655,1,8,computation
0.0036380291,7,8,matrix-initialization
0.0032598972,7,8,mpi-comm
0.8854360580,7,8,win-creation
0.0006928444,7,8,computation
0.0029919147,3,8,matrix-initialization
0.0046279430,3,8,mpi-comm
0.8263700008,3,8,win-creation
0.0007581711,3,8,computation
0.0028281212,4,8,matrix-initialization
0.0045962334,4,8,mpi-comm
0.8107709885,4,8,win-creation
0.0007917881,4,8,computation
0.0029330254,0,8,matrix-initialization
0.0046069622,0,8,mpi-comm
0.8079779148,0,8,win-creation
0.0008010864,0,8,computation
0.0034649372,2,8,matrix-initialization
0.0046072006,2,8,mpi-comm
0.8241419792,2,8,win-creation
0.0007798672,2,8,computation
0.0032560825,5,8,matrix-initialization
0.0045223236,5,8,mpi-comm
0.8197259903,5,8,win-creation
0.0008628368,5,8,computation
0.0028800964,6,8,matrix-initialization
0.0046980381,6,8,mpi-comm
0.8108720779,6,8,win-creation
