time,rank,size,what
0.0129179955,6,8,matrix-initialization
0.0089128017,6,8,mpi-comm
0.8212051392,6,8,win-creation
0.0146818161,6,8,computation
0.0125560760,3,8,matrix-initialization
0.0086774826,3,8,mpi-comm
0.7936558723,3,8,win-creation
0.0149395466,3,8,computation
0.0126419067,5,8,matrix-initialization
0.0090284348,5,8,mpi-comm
0.8186678886,5,8,win-creation
0.0145626068,5,8,computation
0.0127360821,2,8,matrix-initialization
0.0088157654,2,8,mpi-comm
0.8022978306,2,8,win-creation
0.0147681236,2,8,computation
0.0125229359,4,8,matrix-initialization
0.0090923309,4,8,mpi-comm
0.8058860302,4,8,win-creation
0.0145294666,4,8,computation
0.0127489567,1,8,matrix-initialization
0.0088367462,1,8,mpi-comm
0.8019421101,1,8,win-creation
0.0147578716,1,8,computation
0.0124168396,0,8,matrix-initialization
0.0091340542,0,8,mpi-comm
0.8148431778,0,8,win-creation
0.0144441128,0,8,computation
0.0132050514,7,8,matrix-initialization
0.0095183849,7,8,mpi-comm
0.7802200317,7,8,win-creation
0.0140657425,7,8,computation
0.0124280453,2,8,matrix-initialization
0.0030398369,2,8,mpi-comm
0.4557650089,2,8,win-creation
0.0142681599,2,8,computation
0.0122818947,6,8,matrix-initialization
0.0031495094,6,8,mpi-comm
0.4785149097,6,8,win-creation
0.0141716003,6,8,computation
0.0121970177,4,8,matrix-initialization
0.0030272007,4,8,mpi-comm
0.4559350014,4,8,win-creation
0.0142829418,4,8,computation
0.0127429962,5,8,matrix-initialization
0.0027432442,5,8,mpi-comm
0.4565949440,5,8,win-creation
0.0147686005,5,8,computation
0.0120220184,3,8,matrix-initialization
0.0036430359,3,8,mpi-comm
0.4652638435,3,8,win-creation
0.0138103962,3,8,computation
0.0123710632,1,8,matrix-initialization
0.0031192303,1,8,mpi-comm
0.4838020802,1,8,win-creation
0.0143706799,1,8,computation
0.0124888420,0,8,matrix-initialization
0.0027356148,0,8,mpi-comm
0.4554209709,0,8,win-creation
0.0146381855,0,8,computation
0.0131220818,7,8,matrix-initialization
0.0022664070,7,8,mpi-comm
0.4743549824,7,8,win-creation
0.0151660442,7,8,computation
0.0128238201,3,8,matrix-initialization
0.0122671127,3,8,mpi-comm
0.8108041286,3,8,win-creation
0.0152359009,3,8,computation
0.0122470856,2,8,matrix-initialization
0.0127193928,2,8,mpi-comm
0.8176100254,2,8,win-creation
0.0148332119,2,8,computation
0.0129520893,5,8,matrix-initialization
0.0031774044,5,8,mpi-comm
0.7957129478,5,8,win-creation
0.0243184566,5,8,computation
0.0119647980,1,8,matrix-initialization
0.0138008595,1,8,mpi-comm
0.8224661350,1,8,win-creation
0.0136933327,1,8,computation
0.0124170780,6,8,matrix-initialization
0.0134449005,6,8,mpi-comm
0.8175640106,6,8,win-creation
0.0140600204,6,8,computation
0.0118651390,4,8,matrix-initialization
0.0137178898,4,8,mpi-comm
0.8179509640,4,8,win-creation
0.0138282776,4,8,computation
0.0129408836,0,8,matrix-initialization
0.0130162239,0,8,mpi-comm
0.7966458797,0,8,win-creation
0.0144796371,0,8,computation
0.0125119686,7,8,matrix-initialization
0.0139451027,7,8,mpi-comm
0.8173370361,7,8,win-creation
0.0135829449,7,8,computation
0.0128908157,1,8,matrix-initialization
0.0014963150,1,8,mpi-comm
1.0467929840,1,8,win-creation
0.0151104927,1,8,computation
0.0125610828,2,8,matrix-initialization
0.0021646023,2,8,mpi-comm
1.0170121193,2,8,win-creation
0.0144171715,2,8,computation
0.0124318600,4,8,matrix-initialization
0.0019512177,4,8,mpi-comm
1.0415830612,4,8,win-creation
0.0146327019,4,8,computation
0.0120630264,6,8,matrix-initialization
0.0025026798,6,8,mpi-comm
1.0381469727,6,8,win-creation
0.0140945911,6,8,computation
0.0119719505,3,8,matrix-initialization
0.0025808811,3,8,mpi-comm
1.0418128967,3,8,win-creation
0.0140423775,3,8,computation
0.0126299858,5,8,matrix-initialization
0.0020480156,5,8,mpi-comm
1.0406670570,5,8,win-creation
0.0145359039,5,8,computation
0.0126290321,0,8,matrix-initialization
0.0019149780,0,8,mpi-comm
1.0266709328,0,8,win-creation
0.0146827698,0,8,computation
0.0130808353,7,8,matrix-initialization
0.0023114681,7,8,mpi-comm
1.0278990269,7,8,win-creation
0.0142743587,7,8,computation
0.0118441582,2,8,matrix-initialization
0.0107638836,2,8,mpi-comm
0.9458799362,2,8,win-creation
0.0134651661,2,8,computation
0.0121841431,6,8,matrix-initialization
0.0104818344,6,8,mpi-comm
0.9721510410,6,8,win-creation
0.0137271881,6,8,computation
0.0126750469,5,8,matrix-initialization
0.0099463463,5,8,mpi-comm
0.9538738728,5,8,win-creation
0.0141916275,5,8,computation
0.0124719143,4,8,matrix-initialization
0.0100157261,4,8,mpi-comm
0.9332141876,4,8,win-creation
0.0142021179,4,8,computation
0.0125918388,1,8,matrix-initialization
0.0095281601,1,8,mpi-comm
0.9563028812,1,8,win-creation
0.0145976543,1,8,computation
0.0124530792,3,8,matrix-initialization
0.0018284321,3,8,mpi-comm
0.9642529488,3,8,win-creation
0.0146338940,3,8,computation
0.0125148296,0,8,matrix-initialization
0.0100128651,0,8,mpi-comm
0.9540090561,0,8,win-creation
0.0141863823,0,8,computation
0.0134739876,7,8,matrix-initialization
0.0021116734,7,8,mpi-comm
0.9579539299,7,8,win-creation
0.0143675804,7,8,computation
0.0122320652,4,8,matrix-initialization
0.0024664402,4,8,mpi-comm
0.7576549053,4,8,win-creation
0.0139365196,4,8,computation
0.0128850937,6,8,matrix-initialization
0.0014405251,6,8,mpi-comm
0.7564008236,6,8,win-creation
0.0149333477,6,8,computation
0.0125539303,2,8,matrix-initialization
0.0018761158,2,8,mpi-comm
0.7825019360,2,8,win-creation
0.0145218372,2,8,computation
0.0121018887,3,8,matrix-initialization
0.0022032261,3,8,mpi-comm
0.7672259808,3,8,win-creation
0.0142068863,3,8,computation
0.0127191544,1,8,matrix-initialization
0.0014910698,1,8,mpi-comm
0.7859840393,1,8,win-creation
0.0149126053,1,8,computation
0.0123739243,5,8,matrix-initialization
0.0019373894,5,8,mpi-comm
0.7800281048,5,8,win-creation
0.0144751072,5,8,computation
0.0124168396,0,8,matrix-initialization
0.0024666786,0,8,mpi-comm
0.7849202156,0,8,win-creation
0.0139541626,0,8,computation
0.0132470131,7,8,matrix-initialization
0.0017211437,7,8,mpi-comm
0.7643060684,7,8,win-creation
0.0146617889,7,8,computation
0.0122900009,5,8,matrix-initialization
0.0064594746,5,8,mpi-comm
1.1172649860,5,8,win-creation
0.0145535469,5,8,computation
0.0124940872,2,8,matrix-initialization
0.0060310364,2,8,mpi-comm
1.1021740437,2,8,win-creation
0.0149207115,2,8,computation
0.0122509003,3,8,matrix-initialization
0.0066688061,3,8,mpi-comm
1.1176440716,3,8,win-creation
0.0142707825,3,8,computation
0.0119760036,4,8,matrix-initialization
0.0068378448,4,8,mpi-comm
1.1041600704,4,8,win-creation
0.0141263008,4,8,computation
0.0129101276,1,8,matrix-initialization
0.0057647228,1,8,mpi-comm
1.1338899136,1,8,win-creation
0.0152614117,1,8,computation
0.0124869347,6,8,matrix-initialization
0.0062994957,6,8,mpi-comm
1.1287510395,6,8,win-creation
0.0146348476,6,8,computation
0.0122320652,0,8,matrix-initialization
0.0069410801,0,8,mpi-comm
1.1161401272,0,8,win-creation
0.0140647888,0,8,computation
0.0132200718,7,8,matrix-initialization
0.0063982010,7,8,mpi-comm
1.1043999195,7,8,win-creation
0.0145289898,7,8,computation
0.0138270855,4,8,matrix-initialization
0.0018064976,4,8,mpi-comm
0.8203818798,4,8,win-creation
0.0147824287,4,8,computation
0.0123569965,2,8,matrix-initialization
0.0019512177,2,8,mpi-comm
0.8229088783,2,8,win-creation
