time,rank,size,what
0.0031809807,3,4,matrix-initialization
0.0004384518,3,4,mpi-comm
0.2419331074,3,4,win-creation
0.0007176399,3,4,computation
0.0032720566,0,4,matrix-initialization
0.0004851818,0,4,mpi-comm
0.2506248951,0,4,win-creation
0.0006637573,0,4,computation
0.0030798912,1,4,matrix-initialization
0.0002865791,1,4,mpi-comm
0.2682790756,1,4,win-creation
0.0008721352,1,4,computation
0.0032889843,2,4,matrix-initialization
0.0005550385,2,4,mpi-comm
0.2380478382,2,4,win-creation
0.0005898476,2,4,computation
0.0030810833,2,4,matrix-initialization
0.0003719330,2,4,mpi-comm
0.3947019577,2,4,win-creation
0.0008010864,2,4,computation
0.0040800571,0,4,matrix-initialization
0.0003225803,0,4,mpi-comm
0.3843538761,0,4,win-creation
0.0008475780,0,4,computation
0.0030949116,3,4,matrix-initialization
0.0003399849,3,4,mpi-comm
0.3740351200,3,4,win-creation
0.0008339882,3,4,computation
0.0036849976,1,4,matrix-initialization
0.0003418922,1,4,mpi-comm
0.4056499004,1,4,win-creation
0.0008351803,1,4,computation
0.0030159950,3,4,matrix-initialization
0.0004351139,3,4,mpi-comm
0.2542910576,3,4,win-creation
0.0006520748,3,4,computation
0.0031230450,2,4,matrix-initialization
0.0004792213,2,4,mpi-comm
0.2434909344,2,4,win-creation
0.0006048679,2,4,computation
0.0036869049,0,4,matrix-initialization
0.0003838539,0,4,mpi-comm
0.2228920460,0,4,win-creation
0.0006980896,0,4,computation
0.0030791759,1,4,matrix-initialization
0.0002682209,1,4,mpi-comm
0.2609868050,1,4,win-creation
0.0008277893,1,4,computation
0.0031011105,3,4,matrix-initialization
0.0008099079,3,4,mpi-comm
0.3083949089,3,4,win-creation
0.0007822514,3,4,computation
0.0031430721,0,4,matrix-initialization
0.0008258820,0,4,mpi-comm
0.3081319332,0,4,win-creation
0.0007936954,0,4,computation
0.0031239986,1,4,matrix-initialization
0.0009093285,1,4,mpi-comm
0.2846069336,1,4,win-creation
0.0006937981,1,4,computation
0.0032930374,2,4,matrix-initialization
0.0008544922,2,4,mpi-comm
0.2828779221,2,4,win-creation
0.0007605553,2,4,computation
0.0031750202,3,4,matrix-initialization
0.0007269382,3,4,mpi-comm
0.2569200993,3,4,win-creation
0.0006201267,3,4,computation
0.0030751228,1,4,matrix-initialization
0.0007629395,1,4,mpi-comm
0.2842588425,1,4,win-creation
0.0006260872,1,4,computation
0.0032110214,2,4,matrix-initialization
0.0007417202,2,4,mpi-comm
0.2536289692,2,4,win-creation
0.0006535053,2,4,computation
0.0031259060,0,4,matrix-initialization
0.0007772446,0,4,mpi-comm
0.2832331657,0,4,win-creation
0.0006127357,0,4,computation
0.0030159950,3,4,matrix-initialization
0.0014603138,3,4,mpi-comm
0.3544061184,3,4,win-creation
0.0009148121,3,4,computation
0.0031700134,0,4,matrix-initialization
0.0016093254,0,4,mpi-comm
0.3580698967,0,4,win-creation
0.0007658005,0,4,computation
0.0036101341,2,4,matrix-initialization
0.0015125275,2,4,mpi-comm
0.3530168533,2,4,win-creation
0.0008676052,2,4,computation
0.0030801296,1,4,matrix-initialization
0.0015814304,1,4,mpi-comm
0.3631219864,1,4,win-creation
0.0008525848,1,4,computation
0.0031540394,3,4,matrix-initialization
0.0005578995,3,4,mpi-comm
0.3195490837,3,4,win-creation
0.0007700920,3,4,computation
0.0032210350,2,4,matrix-initialization
0.0007488728,2,4,mpi-comm
0.3217010498,2,4,win-creation
0.0005710125,2,4,computation
0.0032417774,0,4,matrix-initialization
0.0005717278,0,4,mpi-comm
0.3077261448,0,4,win-creation
0.0007581711,0,4,computation
0.0031530857,1,4,matrix-initialization
0.0005133152,1,4,mpi-comm
0.3088068962,1,4,win-creation
0.0008125305,1,4,computation
0.0031108856,3,4,matrix-initialization
0.0003612041,3,4,mpi-comm
0.3896210194,3,4,win-creation
0.0008687973,3,4,computation
0.0031998158,0,4,matrix-initialization
0.0004079342,0,4,mpi-comm
0.4082751274,0,4,win-creation
0.0008270741,0,4,computation
0.0031478405,1,4,matrix-initialization
0.0004022121,1,4,mpi-comm
0.3818080425,1,4,win-creation
0.0008308887,1,4,computation
0.0031099319,2,4,matrix-initialization
0.0003654957,2,4,mpi-comm
0.3798789978,2,4,win-creation
0.0008647442,2,4,computation
0.0030410290,3,4,matrix-initialization
0.0011503696,3,4,mpi-comm
0.2614109516,3,4,win-creation
0.0007247925,3,4,computation
0.0031521320,0,4,matrix-initialization
0.0012228489,0,4,mpi-comm
0.2430429459,0,4,win-creation
0.0006339550,0,4,computation
0.0031130314,2,4,matrix-initialization
0.0011732578,2,4,mpi-comm
0.2565910816,2,4,win-creation
0.0006494522,2,4,computation
0.0031130314,1,4,matrix-initialization
0.0010797977,1,4,mpi-comm
0.2530832291,1,4,win-creation
0.0007829666,1,4,computation
0.0031549931,0,4,matrix-initialization
0.0003020763,0,4,mpi-comm
0.2984290123,0,4,win-creation
0.0008599758,0,4,computation
0.0031158924,3,4,matrix-initialization
0.0003838539,3,4,mpi-comm
0.2761259079,3,4,win-creation
0.0007681847,3,4,computation
0.0032119751,1,4,matrix-initialization
0.0003468990,1,4,mpi-comm
0.3027980328,1,4,win-creation
0.0008051395,1,4,computation
0.0030820370,2,4,matrix-initialization
0.0003359318,2,4,mpi-comm
0.3119950294,2,4,win-creation
0.0008211136,2,4,computation
