time(s),rank-worker,number-of-nodes,algorithm,thing-measured
1.925907,0,1,CPU-naive,init-A-B-C
0.071962,0,1,CPU-naive,compute-col-block-B
0.000001,0,1,CPU-naive,get-ready-allgatherv
0.085323,0,1,CPU-naive,perform-allgatherv
725.593634,0,1,CPU-naive,compute-block-C-result
1.934587,0,1,CPU-naive,init-A-B-C
0.078132,0,1,CPU-naive,compute-col-block-B
0.000002,0,1,CPU-naive,get-ready-allgatherv
0.086898,0,1,CPU-naive,perform-allgatherv
730.988942,0,1,CPU-naive,compute-block-C-result
0.965531,1,2,CPU-naive,init-A-B-C
0.018847,1,2,CPU-naive,compute-col-block-B
0.000002,1,2,CPU-naive,get-ready-allgatherv
0.070952,1,2,CPU-naive,perform-allgatherv
152.993205,1,2,CPU-naive,compute-block-C-result
0.018603,1,2,CPU-naive,compute-col-block-B
0.000003,1,2,CPU-naive,get-ready-allgatherv
0.628460,1,2,CPU-naive,perform-allgatherv
152.931858,1,2,CPU-naive,compute-block-C-result
0.962023,0,2,CPU-naive,init-A-B-C
0.018827,0,2,CPU-naive,compute-col-block-B
0.000003,0,2,CPU-naive,get-ready-allgatherv
0.061427,0,2,CPU-naive,perform-allgatherv
153.576059,0,2,CPU-naive,compute-block-C-result
0.018347,0,2,CPU-naive,compute-col-block-B
0.000003,0,2,CPU-naive,get-ready-allgatherv
0.044058,0,2,CPU-naive,perform-allgatherv
153.302532,0,2,CPU-naive,compute-block-C-result
1.920251,0,1,CPU-naive,init-A-B-C
0.070634,0,1,CPU-naive,compute-col-block-B
0.000001,0,1,CPU-naive,get-ready-allgatherv
0.083583,0,1,CPU-naive,perform-allgatherv
718.557661,0,1,CPU-naive,compute-block-C-result
0.960686,0,2,CPU-naive,init-A-B-C
0.018806,0,2,CPU-naive,compute-col-block-B
0.000002,0,2,CPU-naive,get-ready-allgatherv
0.065887,0,2,CPU-naive,perform-allgatherv
152.985788,0,2,CPU-naive,compute-block-C-result
0.018384,0,2,CPU-naive,compute-col-block-B
0.000003,0,2,CPU-naive,get-ready-allgatherv
0.385210,0,2,CPU-naive,perform-allgatherv
152.688168,0,2,CPU-naive,compute-block-C-result
0.962775,1,2,CPU-naive,init-A-B-C
0.018805,1,2,CPU-naive,compute-col-block-B
0.000002,1,2,CPU-naive,get-ready-allgatherv
0.062810,1,2,CPU-naive,perform-allgatherv
153.327536,1,2,CPU-naive,compute-block-C-result
0.018495,1,2,CPU-naive,compute-col-block-B
0.000003,1,2,CPU-naive,get-ready-allgatherv
0.043288,1,2,CPU-naive,perform-allgatherv
152.867681,1,2,CPU-naive,compute-block-C-result
0.964657,1,2,CPU-naive,init-A-B-C
0.018813,1,2,CPU-naive,compute-col-block-B
0.000003,1,2,CPU-naive,get-ready-allgatherv
0.062811,1,2,CPU-naive,perform-allgatherv
152.833215,1,2,CPU-naive,compute-block-C-result
0.018511,1,2,CPU-naive,compute-col-block-B
0.000003,1,2,CPU-naive,get-ready-allgatherv
1.986375,1,2,CPU-naive,perform-allgatherv
152.994298,1,2,CPU-naive,compute-block-C-result
0.960490,0,2,CPU-naive,init-A-B-C
0.018577,0,2,CPU-naive,compute-col-block-B
0.000002,0,2,CPU-naive,get-ready-allgatherv
0.067829,0,2,CPU-naive,perform-allgatherv
154.773861,0,2,CPU-naive,compute-block-C-result
0.018583,0,2,CPU-naive,compute-col-block-B
0.000003,0,2,CPU-naive,get-ready-allgatherv
0.044314,0,2,CPU-naive,perform-allgatherv
154.366266,0,2,CPU-naive,compute-block-C-result
0.481252,3,4,CPU-naive,init-A-B-C
0.005046,3,4,CPU-naive,compute-col-block-B
0.000003,3,4,CPU-naive,get-ready-allgatherv
0.049625,3,4,CPU-naive,perform-allgatherv
31.393814,3,4,CPU-naive,compute-block-C-result
0.005047,3,4,CPU-naive,compute-col-block-B
0.000004,3,4,CPU-naive,get-ready-allgatherv
1.158906,3,4,CPU-naive,perform-allgatherv
31.738445,3,4,CPU-naive,compute-block-C-result
0.002675,3,4,CPU-naive,compute-col-block-B
0.000003,3,4,CPU-naive,get-ready-allgatherv
0.696173,3,4,CPU-naive,perform-allgatherv
31.684403,3,4,CPU-naive,compute-block-C-result
0.002656,3,4,CPU-naive,compute-col-block-B
0.000003,3,4,CPU-naive,get-ready-allgatherv
0.671849,3,4,CPU-naive,perform-allgatherv
31.739174,3,4,CPU-naive,compute-block-C-result
0.480296,0,4,CPU-naive,init-A-B-C
0.004984,0,4,CPU-naive,compute-col-block-B
0.000004,0,4,CPU-naive,get-ready-allgatherv
0.053625,0,4,CPU-naive,perform-allgatherv
32.200606,0,4,CPU-naive,compute-block-C-result
0.005038,0,4,CPU-naive,compute-col-block-B
0.000003,0,4,CPU-naive,get-ready-allgatherv
0.351864,0,4,CPU-naive,perform-allgatherv
32.198998,0,4,CPU-naive,compute-block-C-result
0.002660,0,4,CPU-naive,compute-col-block-B
0.000004,0,4,CPU-naive,get-ready-allgatherv
0.235298,0,4,CPU-naive,perform-allgatherv
32.091816,0,4,CPU-naive,compute-block-C-result
0.002641,0,4,CPU-naive,compute-col-block-B
0.000003,0,4,CPU-naive,get-ready-allgatherv
0.264014,0,4,CPU-naive,perform-allgatherv
32.041078,0,4,CPU-naive,compute-block-C-result
0.481744,1,4,CPU-naive,init-A-B-C
0.005058,1,4,CPU-naive,compute-col-block-B
0.000004,1,4,CPU-naive,get-ready-allgatherv
0.035249,1,4,CPU-naive,perform-allgatherv
31.780938,1,4,CPU-naive,compute-block-C-result
0.005049,1,4,CPU-naive,compute-col-block-B
0.000003,1,4,CPU-naive,get-ready-allgatherv
0.773482,1,4,CPU-naive,perform-allgatherv
32.160797,1,4,CPU-naive,compute-block-C-result
0.002684,1,4,CPU-naive,compute-col-block-B
0.000004,1,4,CPU-naive,get-ready-allgatherv
0.273414,1,4,CPU-naive,perform-allgatherv
32.281872,1,4,CPU-naive,compute-block-C-result
0.002667,1,4,CPU-naive,compute-col-block-B
0.000003,1,4,CPU-naive,get-ready-allgatherv
