time(s),rank-worker,number-of-nodes,algorithm,thing-measured
0.454187,1,4,GPU-Cuda,init-A-B-C
0.006418,1,4,GPU-Cuda,Copy-A-and-C-to-device
0.026767,1,4,GPU-Cuda,compute-col-block-B
0.000001,1,4,GPU-Cuda,get-ready-allgatherv
0.045093,1,4,GPU-Cuda,perform-allgatherv
0.006757,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
1.419017,1,4,GPU-Cuda,compute-block-C-result
0.001342,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004735,1,4,GPU-Cuda,move-block-C-to-global-C
0.024994,1,4,GPU-Cuda,compute-col-block-B
0.000001,1,4,GPU-Cuda,get-ready-allgatherv
0.033886,1,4,GPU-Cuda,perform-allgatherv
0.006772,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
0.001962,1,4,GPU-Cuda,compute-block-C-result
0.000864,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004610,1,4,GPU-Cuda,move-block-C-to-global-C
0.021506,1,4,GPU-Cuda,compute-col-block-B
0.000000,1,4,GPU-Cuda,get-ready-allgatherv
0.033889,1,4,GPU-Cuda,perform-allgatherv
0.006731,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
0.001883,1,4,GPU-Cuda,compute-block-C-result
0.000873,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004593,1,4,GPU-Cuda,move-block-C-to-global-C
0.021592,1,4,GPU-Cuda,compute-col-block-B
0.000000,1,4,GPU-Cuda,get-ready-allgatherv
0.034011,1,4,GPU-Cuda,perform-allgatherv
0.006747,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
0.001803,1,4,GPU-Cuda,compute-block-C-result
0.000862,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004601,1,4,GPU-Cuda,move-block-C-to-global-C
0.454254,3,4,GPU-Cuda,init-A-B-C
0.006865,3,4,GPU-Cuda,Copy-A-and-C-to-device
0.025185,3,4,GPU-Cuda,compute-col-block-B
0.000001,3,4,GPU-Cuda,get-ready-allgatherv
0.046867,3,4,GPU-Cuda,perform-allgatherv
0.006731,3,4,GPU-Cuda,copy-column-B-cpu-to-gpu
1.419280,3,4,GPU-Cuda,compute-block-C-result
0.001325,3,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004719,3,4,GPU-Cuda,move-block-C-to-global-C
0.024938,3,4,GPU-Cuda,compute-col-block-B
0.000001,3,4,GPU-Cuda,get-ready-allgatherv
0.033883,3,4,GPU-Cuda,perform-allgatherv
0.006572,3,4,GPU-Cuda,copy-column-B-cpu-to-gpu
0.001949,3,4,GPU-Cuda,compute-block-C-result
0.000905,3,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004600,3,4,GPU-Cuda,move-block-C-to-global-C
0.021462,3,4,GPU-Cuda,compute-col-block-B
0.000001,3,4,GPU-Cuda,get-ready-allgatherv
0.033952,3,4,GPU-Cuda,perform-allgatherv
0.006535,3,4,GPU-Cuda,copy-column-B-cpu-to-gpu
0.001884,3,4,GPU-Cuda,compute-block-C-result
0.000911,3,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004601,3,4,GPU-Cuda,move-block-C-to-global-C
0.021479,3,4,GPU-Cuda,compute-col-block-B
0.000001,3,4,GPU-Cuda,get-ready-allgatherv
0.034192,3,4,GPU-Cuda,perform-allgatherv
0.006424,3,4,GPU-Cuda,copy-column-B-cpu-to-gpu
0.001877,3,4,GPU-Cuda,compute-block-C-result
0.000897,3,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004589,3,4,GPU-Cuda,move-block-C-to-global-C
0.454832,0,4,GPU-Cuda,init-A-B-C
0.006303,0,4,GPU-Cuda,Copy-A-and-C-to-device
0.025463,0,4,GPU-Cuda,compute-col-block-B
0.000002,0,4,GPU-Cuda,get-ready-allgatherv
0.046559,0,4,GPU-Cuda,perform-allgatherv
0.006657,0,4,GPU-Cuda,copy-column-B-cpu-to-gpu
1.418868,0,4,GPU-Cuda,compute-block-C-result
0.001341,0,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004726,0,4,GPU-Cuda,move-block-C-to-global-C
0.025200,0,4,GPU-Cuda,compute-col-block-B
0.000000,0,4,GPU-Cuda,get-ready-allgatherv
0.033113,0,4,GPU-Cuda,perform-allgatherv
0.006725,0,4,GPU-Cuda,copy-column-B-cpu-to-gpu
0.001885,0,4,GPU-Cuda,compute-block-C-result
0.000810,0,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004612,0,4,GPU-Cuda,move-block-C-to-global-C
0.021775,0,4,GPU-Cuda,compute-col-block-B
0.000000,0,4,GPU-Cuda,get-ready-allgatherv
0.033768,0,4,GPU-Cuda,perform-allgatherv
0.006687,0,4,GPU-Cuda,copy-column-B-cpu-to-gpu
0.001834,0,4,GPU-Cuda,compute-block-C-result
0.000822,0,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004567,0,4,GPU-Cuda,move-block-C-to-global-C
0.021769,0,4,GPU-Cuda,compute-col-block-B
0.000001,0,4,GPU-Cuda,get-ready-allgatherv
0.034012,0,4,GPU-Cuda,perform-allgatherv
0.006588,0,4,GPU-Cuda,copy-column-B-cpu-to-gpu
0.001787,0,4,GPU-Cuda,compute-block-C-result
0.000818,0,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004587,0,4,GPU-Cuda,move-block-C-to-global-C
0.454586,2,4,GPU-Cuda,init-A-B-C
0.006788,2,4,GPU-Cuda,Copy-A-and-C-to-device
0.025423,2,4,GPU-Cuda,compute-col-block-B
0.000001,2,4,GPU-Cuda,get-ready-allgatherv
0.046567,2,4,GPU-Cuda,perform-allgatherv
0.006776,2,4,GPU-Cuda,copy-column-B-cpu-to-gpu
1.418972,2,4,GPU-Cuda,compute-block-C-result
0.001344,2,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004720,2,4,GPU-Cuda,move-block-C-to-global-C
0.025148,2,4,GPU-Cuda,compute-col-block-B
0.000001,2,4,GPU-Cuda,get-ready-allgatherv
0.032946,2,4,GPU-Cuda,perform-allgatherv
0.006788,2,4,GPU-Cuda,copy-column-B-cpu-to-gpu
0.001931,2,4,GPU-Cuda,compute-block-C-result
0.000898,2,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004589,2,4,GPU-Cuda,move-block-C-to-global-C
0.021644,2,4,GPU-Cuda,compute-col-block-B
0.000001,2,4,GPU-Cuda,get-ready-allgatherv
0.033697,2,4,GPU-Cuda,perform-allgatherv
0.006693,2,4,GPU-Cuda,copy-column-B-cpu-to-gpu
0.001848,2,4,GPU-Cuda,compute-block-C-result
0.000884,2,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004567,2,4,GPU-Cuda,move-block-C-to-global-C
0.021703,2,4,GPU-Cuda,compute-col-block-B
0.000002,2,4,GPU-Cuda,get-ready-allgatherv
0.033829,2,4,GPU-Cuda,perform-allgatherv
0.006609,2,4,GPU-Cuda,copy-column-B-cpu-to-gpu
0.001802,2,4,GPU-Cuda,compute-block-C-result
0.000891,2,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004591,2,4,GPU-Cuda,move-block-C-to-global-C
0.454987,1,4,GPU-Cuda,init-A-B-C
0.006460,1,4,GPU-Cuda,Copy-A-and-C-to-device
0.025410,1,4,GPU-Cuda,compute-col-block-B
0.000001,1,4,GPU-Cuda,get-ready-allgatherv
0.040581,1,4,GPU-Cuda,perform-allgatherv
0.006804,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
1.441319,1,4,GPU-Cuda,compute-block-C-result
0.001349,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004736,1,4,GPU-Cuda,move-block-C-to-global-C
0.025167,1,4,GPU-Cuda,compute-col-block-B
0.000004,1,4,GPU-Cuda,get-ready-allgatherv
0.034474,1,4,GPU-Cuda,perform-allgatherv
0.006934,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
0.001729,1,4,GPU-Cuda,compute-block-C-result
0.000913,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004641,1,4,GPU-Cuda,move-block-C-to-global-C
0.021644,1,4,GPU-Cuda,compute-col-block-B
0.000000,1,4,GPU-Cuda,get-ready-allgatherv
0.034821,1,4,GPU-Cuda,perform-allgatherv
0.006858,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
0.001783,1,4,GPU-Cuda,compute-block-C-result
0.000915,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
0.004647,1,4,GPU-Cuda,move-block-C-to-global-C
0.021659,1,4,GPU-Cuda,compute-col-block-B
0.000001,1,4,GPU-Cuda,get-ready-allgatherv
0.034721,1,4,GPU-Cuda,perform-allgatherv
0.006579,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
