time,rank,size,what
0.0003850460,4,16,matrix-initialization
2.9099316597,4,16,mpi-comm
0.0011954308,4,16,computation
0.0003769398,9,16,matrix-initialization
2.8988854885,9,16,mpi-comm
0.0011935234,9,16,computation
0.0003759861,14,16,matrix-initialization
2.9110341072,14,16,mpi-comm
0.0011758804,14,16,computation
0.0003790855,7,16,matrix-initialization
2.9170398712,7,16,mpi-comm
0.0012090206,7,16,computation
0.0003709793,8,16,matrix-initialization
2.9110820293,8,16,mpi-comm
0.0011839867,8,16,computation
0.0003919601,3,16,matrix-initialization
2.9106369019,3,16,mpi-comm
0.0011718273,3,16,computation
0.0003759861,11,16,matrix-initialization
2.9114954472,11,16,mpi-comm
0.0011765957,11,16,computation
0.0003931522,5,16,matrix-initialization
2.9117386341,5,16,mpi-comm
0.0012423992,5,16,computation
0.0003960133,0,16,matrix-initialization
2.9218151569,0,16,mpi-comm
0.0011825562,0,16,computation
0.0003700256,10,16,matrix-initialization
2.9095134735,10,16,mpi-comm
0.0011973381,10,16,computation
0.0003931522,1,16,matrix-initialization
2.8975689411,1,16,mpi-comm
0.0011510849,1,16,computation
0.0003819466,2,16,matrix-initialization
2.9108967781,2,16,mpi-comm
0.0012202263,2,16,computation
0.0003869534,6,16,matrix-initialization
2.9117412567,6,16,mpi-comm
0.0012767315,6,16,computation
0.0003850460,13,16,matrix-initialization
2.9243512154,13,16,mpi-comm
0.0011825562,13,16,computation
0.0003890991,15,16,matrix-initialization
2.9041609764,15,16,mpi-comm
0.0012178421,15,16,computation
0.0003719330,12,16,matrix-initialization
2.9118628502,12,16,mpi-comm
0.0012202263,12,16,computation
